sourceTaxonId,sourceTaxonName,Taxonomic Level,EOL ID,WORMS ID,Common Name,Specify More,Done = 1,Added as new agents,Notes,Aggregated taxa,reported,search term,...14,...15,...16,...17,...18,who searched,date(s) searched
NA,Homarus americanus,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Hyas coarctatus,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Hymedesmia (Hymedesmia) canadensis,Species,NA,NA,NA,NA,1,NA,found nothing,Hymedesmia,NA,done,NA,NA,NA,NA,NA,NA,
NA,Ischnochiton albus,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Ischnochiton ruber,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Isodictya palmata,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Laminaria digitata,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Leathesia marina,Species,NA,NA,NA,NA,1,NA,aka Leathesia difformis,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Leptophytum foecundum,Species,NA,NA,NA,NA,NA,NA,NA,Leptophytum spp.,NA,"Leptophytum foecundum AND (""gut content*"" OR diet* OR prey OR predat* OR ""eat"" OR ""eats"" OR ""eaten"" OR ""feed*"" OR ""fed"" OR consum* OR herbiv*)",NA,NA,NA,NA,NA,NA,
NA,Leucoraja erinacea,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Leucoraja ocellata,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Leucosolenia fragilis,Species,NA,NA,NA,NA,1,NA,found nothing,Leucosolenia,NA,done,NA,NA,NA,NA,NA,NA,
NA,Leucosolenia botryoides,Species,NA,NA,NA,NA,1,NA,NA,Leucosolenia,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Libinia emarginata,Species,NA,NA,NA,NA,1,NA,surprised there isnt more,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Lichenopora verrucaria,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Limanda ferruginea,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Lithophyllum orbiculatum,Species,NA,NA,NA,NA,NA,NA,NA,Lithophyllum sp.,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Lithophyllum corallinae,Species,NA,NA,NA,NA,NA,NA,NA,Lithophyllum sp.,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Lithothamnion lemoineae,Species,NA,NA,NA,NA,1,NA,found nothing,Lithothamnion,NA,done,NA,NA,NA,NA,NA,NA,
NA,Lithothamnion tophiforme,Species,NA,NA,NA,NA,1,NA,found nothing,Lithothamnion,NA,NA,NA,NA,NA,NA,NA,NA,
start jarrett highlight,Lumpenus lumpretaeformis,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Lunatia heros,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Mastocarpus stellatus,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Melanogrammus aeglefinus,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Membranipora membranacea,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
Merluccius biliearis,Merluccius bilinearis,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Merluccius bilinearis AND (""gut content*"" OR diet* OR prey OR predat* OR ""eat"" OR ""eats"" OR ""eaten"" OR ""feed*"" OR ""fed"" OR consum* OR herbiv*)",NA,NA,NA,NA,NA,NA,
NA,Metridium senile,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
Clathria (Clathria) prolifera,Microciona prolifera,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Modiolus modiolus,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Molgula citrina,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Molgula manhattensis,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Morone saxatilis,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Myoxocephalus aenaeus,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Myoxocephalus octodecemspinosus,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Myoxocephalus scorpius,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Myoxocephalus scorpioides,Species,NA,NA,NA,NA,1,NA,NA,Myoxocephalus,NA,done,NA,NA,NA,NA,NA,NA,
NA,Mytilus edulis,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Neptunea decemcostata,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neptunea decemcostata AND (""gut content*"" OR diet* OR prey OR predat* OR ""eat"" OR ""eats"" OR ""eaten"" OR ""feed*"" OR ""fed"" OR consum* OR herbiv*)",NA,NA,NA,NA,NA,NA,
NA,Obelia spp.,Genus,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Octopus vulgaris,Species,NA,NA,NA,NA,NA,NA,NA,Octopus sp.,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Octopus spinosus,Species,NA,NA,NA,NA,NA,NA,NA,Octopus sp.,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Octopus briareus,Species,NA,NA,NA,NA,NA,NA,NA,Octopus sp.,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Ophiopholis aculeata,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ophiopholis aculeata AND (""gut content*"" OR diet* OR prey OR predat* OR ""eat"" OR ""eats"" OR ""eaten"" OR ""feed*"" OR ""fed"" OR consum* OR herbiv*)",NA,NA,NA,NA,NA,NA,
NA,Ostrea edulis,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Ovalipes ocellatus,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ovalipes ocellatus AND (""gut content*"" OR diet* OR prey OR predat* OR ""eat"" OR ""eats"" OR ""eaten"" OR ""feed*"" OR ""fed"" OR consum* OR herbiv*)",NA,NA,NA,NA,NA,NA,
NA,Palmaria palmata,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
Panopeus herbistii,Panopeus herbstii,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Panopeus herbstii AND (""gut content*"" OR diet* OR prey OR predat* OR ""eat"" OR ""eats"" OR ""eaten"" OR ""feed*"" OR ""fed"" OR consum* OR herbiv*)",NA,NA,NA,NA,NA,NA,
Paralichthrus denatus,Paralichthys dentatus,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paralichthys dentatus AND (""gut content*"" OR diet* OR prey OR predat* OR ""eat"" OR ""eats"" OR ""eaten"" OR ""feed*"" OR ""fed"" OR consum* OR herbiv*)",NA,NA,NA,NA,NA,NA,
NA,Paralichthys oblongus,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paralichthys oblongus AND (""gut content*"" OR diet* OR prey OR predat* OR ""eat"" OR ""eats"" OR ""eaten"" OR ""feed*"" OR ""fed"" OR consum* OR herbiv*)",NA,NA,NA,NA,NA,NA,
NA,Pholis gunnellus,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Phycodrys rubens,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Phymatolithon calcareum,Species,NA,NA,NA,NA,1,NA,NA,Phymatolithon,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Phymatolithon lenormandii,Species,NA,NA,NA,NA,1,NA,found nothing,Phymatolithon,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Phymatolithon laevigatum,Species,NA,NA,NA,NA,1,NA,NA,Phymatolithon,NA,done,NA,NA,NA,NA,NA,NA,
NA,Phymatolithon lamii,Species,NA,NA,NA,NA,1,NA,found nothing,Phymatolithon,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Placopecten magellanicus,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Pollachius virens,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
Polyides rotundus,Polyides rotunda,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polyides rotunda AND (""gut content*"" OR diet* OR prey OR predat* OR ""eat"" OR ""eats"" OR ""eaten"" OR ""feed*"" OR ""fed"" OR consum* OR herbiv*)",NA,NA,NA,NA,NA,NA,
Polynices duplicata,Polinices duplicatus,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polynices duplicata AND (""gut content*"" OR diet* OR prey OR predat* OR ""eat"" OR ""eats"" OR ""eaten"" OR ""feed*"" OR ""fed"" OR consum* OR herbiv*)",NA,NA,NA,NA,NA,NA,
NA,Polysiphonia flexicaulis,Species,NA,NA,NA,NA,1,NA,found nothing,Polysiphonia,NA,done,NA,NA,NA,NA,NA,NA,
NA,Polysiphonia subtilissima,Species,NA,NA,NA,NA,1,NA,NA,Polysiphonia,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Polysiphonia arctica,Species,NA,NA,NA,NA,1,NA,NA,Polysiphonia,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Pomatomus saltatrix,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pomatomus saltatrix AND (""gut content*"" OR diet* OR prey OR predat* OR ""eat"" OR ""eats"" OR ""eaten"" OR ""feed*"" OR ""fed"" OR consum* OR herbiv*)",NA,NA,NA,NA,NA,NA,
NA,Porphyra spp.,Genus,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Prionotus carolinus,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prionotus carolinus AND (""gut content*"" OR diet* OR prey OR predat* OR ""eat"" OR ""eats"" OR ""eaten"" OR ""feed*"" OR ""fed"" OR consum* OR herbiv*)",NA,NA,NA,NA,NA,NA,
NA,Pseudopleuronectes americanus,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pseudopleuronectes americanus AND (""gut content*"" OR diet* OR prey OR predat* OR ""eat"" OR ""eats"" OR ""eaten"" OR ""feed*"" OR ""fed"" OR consum* OR herbiv*)",NA,NA,NA,NA,NA,NA,
NA,Psolus fabricii,Species,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Psolus fabricii AND (""gut content*"" OR diet* OR prey OR predat* OR ""eat"" OR ""eats"" OR ""eaten"" OR ""feed*"" OR ""fed"" OR consum* OR herbiv*)",NA,NA,NA,NA,NA,NA,
NA,Ptilota serrata,Species,NA,NA,NA,NA,1,NA,NA,NA,NA,done,NA,NA,NA,NA,NA,NA,
NA,Red Algal Turf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Red Algal Turf AND (""gut content*"" OR diet* OR prey OR predat* OR ""eat"" OR ""eats"" OR ""eaten"" OR ""feed*"" OR ""fed"" OR consum* OR herbiv*)",NA,NA,NA,NA,NA,NA,
NA,Sabella spallanzanii,Species,NA,NA,NA,NA,NA,NA,NA,Sabella sp.,NA,NA,NA,NA,NA,NA,NA,NA,
NA,Sabella zonalis,Species,NA,NA,NA,NA,NA,NA,NA,Sabella sp.,NA,NA,NA,NA,NA,NA,NA,NA,
