SITE,YEAR,TRANSECT,SPECIES
Baker North,2014,2,Saccharina latissima
Baker North,2014,2,Tautogolabrus adspersus
Baker North,2014,2,UNID Juv Laminariales
Baker North,2014,2,Unidentified Red Blade
Baker North,2014,3,Amphipod tube mat
Baker North,2014,3,Asterias forbesi
Baker North,2014,3,Asterias rubens
Baker North,2014,3,Botrylloides violaceus
Baker North,2014,3,Cancer borealis
Baker North,2014,3,Cancer irroratus
Baker North,2014,3,Ceramium
Baker North,2014,3,Chondrus crispus
Baker North,2014,3,Cliona
Baker North,2014,3,Cliona celata
Baker North,2014,3,Cliona lobata
Baker North,2014,3,Cliona undulata
Baker North,2014,3,Corallina officinalis
Baker North,2014,3,Cyclopterus lumpus
Baker North,2014,3,Desmarestia viridis
Baker North,2014,3,Didemnum vexillum
Baker North,2014,3,Encrusting coralline
Baker North,2014,3,Henricia sanguinolenta
Baker North,2014,3,Heterosiphonia japonica
Baker North,2014,3,Homarus americanus
Baker North,2014,3,Leucosolenia
Baker North,2014,3,Leucosolenia botryoides
Baker North,2014,3,Leucosolenia fragilis
Baker North,2014,3,Lithothamnion
Baker North,2014,3,Lithothamnion lemoineae
Baker North,2014,3,Lithothamnion tophiforme
Baker North,2014,3,Mastocarpus stellatus
Baker North,2014,3,Myoxocephalus
Baker North,2014,3,Myoxocephalus scorpioides
Baker North,2014,3,Pholis gunnellus
Baker North,2014,3,Polysiphonia
Baker North,2014,3,Polysiphonia arctica
Baker North,2014,3,Polysiphonia flexicaulis
Baker North,2014,3,Polysiphonia subtilissima
Baker North,2014,3,Porphyra spp.
Baker North,2014,3,Saccharina latissima
Baker North,2014,3,Tricellaria inopinata
Baker North,2014,3,Unidentified Erect Coralline
Baker North,2014,3,Urophycis regia
Baker North,2014,4,Amphipod tube mat
Baker North,2014,4,Aplidium pallidum
Baker North,2014,4,Botrylloides violaceus
Baker North,2014,4,Cancer borealis
Baker North,2014,4,Cancer irroratus
Baker North,2014,4,Ceramium
Baker North,2014,4,Chondrus crispus
Baker North,2014,4,Cliona
Baker North,2014,4,Cliona celata
Baker North,2014,4,Cliona lobata
Baker North,2014,4,Cliona undulata
Baker North,2014,4,Corallina officinalis
Baker North,2014,4,Cystoclonium purpureum
Baker North,2014,4,Desmarestia viridis
Baker North,2014,4,Diatom Tube Mat
Baker North,2014,4,Didemnum vexillum
Baker North,2014,4,Encrusting coralline
Baker North,2014,4,Heterosiphonia japonica
Baker North,2014,4,Homarus americanus
Baker North,2014,4,Lichenopora verrucaria
Baker North,2014,4,Lithophyllum spp.
Baker North,2014,4,Lithothamnion
Baker North,2014,4,Lithothamnion lemoineae
Baker North,2014,4,Lithothamnion tophiforme
Baker North,2014,4,Membranipora membranacea
Baker North,2014,4,Myoxocephalus
Baker North,2014,4,Myoxocephalus scorpioides
Baker North,2014,4,Mytilus edulis
Baker North,2014,4,Pholis gunnellus
Baker North,2014,4,Phycodrys rubens
Baker North,2014,4,Polyides rotunda
Baker North,2014,4,Polysiphonia
Baker North,2014,4,Polysiphonia arctica
Baker North,2014,4,Polysiphonia flexicaulis
Baker North,2014,4,Polysiphonia subtilissima
Baker North,2014,4,Porphyra spp.
Baker North,2014,4,Red Algal Turf
Baker North,2014,4,Saccharina latissima
Baker North,2014,4,Tricellaria inopinata
Baker North,2014,4,Unidentified Erect Coralline
Baker North,2014,4,Unidentified Red Blade
Baker North,2015,1,Agarum clathratum
Baker North,2015,1,Anomia
Baker North,2015,1,Anomia peruviana
Baker North,2015,1,Anomia simplex
Baker North,2015,1,Asterias forbesi
Baker North,2015,1,Asterias rubens
Baker North,2015,1,Barnacle
Baker North,2015,1,Cancer borealis
Baker North,2015,1,Cancer irroratus
Baker North,2015,1,Chondrus crispus
Baker North,2015,1,Cliona
Baker North,2015,1,Cliona celata
Baker North,2015,1,Cliona lobata
Baker North,2015,1,Cliona undulata
Baker North,2015,1,Coccotylus truncatus
Baker North,2015,1,Crepidula fornicata
Baker North,2015,1,Cystoclonium purpureum
Baker North,2015,1,Desmarestia aculeata
Baker North,2015,1,Desmarestia viridis
Baker North,2015,1,Encrusting coralline
Baker North,2015,1,Euthora cristata
Baker North,2015,1,Henricia sanguinolenta
Baker North,2015,1,Heterosiphonia japonica
Baker North,2015,1,Hildenbrandia rubra
Baker North,2015,1,Homarus americanus
Baker North,2015,1,Leptophytum acervatum
Baker North,2015,1,Lithothamnion
Baker North,2015,1,Lithothamnion lemoineae
Baker North,2015,1,Lithothamnion tophiforme
Baker North,2015,1,Mastocarpus stellatus
Baker North,2015,1,Myoxocephalus
Baker North,2015,1,Myoxocephalus scorpioides
Baker North,2015,1,Mytilus edulis
Baker North,2015,1,Palmaria palmata
Baker North,2015,1,Pholis gunnellus
Baker North,2015,1,Phycodrys rubens
Baker North,2015,1,Polysiphonia
Baker North,2015,1,Polysiphonia arctica
Baker North,2015,1,Polysiphonia flexicaulis
Baker North,2015,1,Polysiphonia subtilissima
Baker North,2015,1,Red Algal Turf
Baker North,2015,1,Saccharina latissima
Baker North,2015,1,Schizoporella unicornis
Baker North,2015,1,Tautogolabrus adspersus
Baker North,2015,1,UNID Juv Laminariales
Baker North,2015,1,Unidentified Red Blade
Baker North,2015,2,Agarum clathratum
Baker North,2015,2,Asterias forbesi
Baker North,2015,2,Asterias rubens
Baker North,2015,2,Barnacle
Baker North,2015,2,Cancer borealis
Baker North,2015,2,Cancer irroratus
Baker North,2015,2,Clathromorphum circumscriptum
Baker North,2015,2,Coccotylus truncatus
Baker North,2015,2,Crepidula fornicata
Baker North,2015,2,Cystoclonium purpureum
Baker North,2015,2,Desmarestia aculeata
Baker North,2015,2,Desmarestia viridis
Baker North,2015,2,Didemnum vexillum
Baker North,2015,2,Encrusting coralline
Baker North,2015,2,Euthora cristata
Baker North,2015,2,Hemitripterus americanus
Baker North,2015,2,Henricia sanguinolenta
Baker North,2015,2,Heterosiphonia japonica
Baker North,2015,2,Hildenbrandia rubra
Baker North,2015,2,Homarus americanus
Baker North,2015,2,Leptophytum acervatum
Baker North,2015,2,Lithophyllum spp.
Baker North,2015,2,Mastocarpus stellatus
Baker North,2015,2,Membranipora membranacea
Baker North,2015,2,Myoxocephalus
Baker North,2015,2,Myoxocephalus scorpioides
Baker North,2015,2,Mytilus edulis
Baker North,2015,2,Palmaria palmata
Baker North,2015,2,Pholis gunnellus
Baker North,2015,2,Phycodrys rubens
Baker North,2015,2,Phymatolithon
Baker North,2015,2,Phymatolithon calcareum
Baker North,2015,2,Phymatolithon laevigatum
Baker North,2015,2,Phymatolithon lamii
Baker North,2015,2,Phymatolithon lenormandii
Baker North,2015,2,Polysiphonia
Baker North,2015,2,Polysiphonia arctica
Baker North,2015,2,Polysiphonia flexicaulis
Baker North,2015,2,Polysiphonia subtilissima
Baker North,2015,2,Porphyra spp.
Baker North,2015,2,Red Algal Turf
Baker North,2015,2,Saccharina latissima
Baker North,2015,2,Tautogolabrus adspersus
Baker North,2015,2,Ulvaria
Baker North,2015,2,Ulvaria obscura
Baker North,2015,2,Ulvaria obscura var. blyttii
Baker North,2015,2,Ulvaria splendens
Baker North,2015,2,Ulvaria subbifurcata
Baker North,2015,2,UNID Juv Laminariales
Baker North,2015,2,Unidentified Red Blade
Baker North,2015,3,Agarum clathratum
Baker North,2015,3,Anomia
Baker North,2015,3,Anomia peruviana
Baker North,2015,3,Anomia simplex
Baker North,2015,3,Aplidium pallidum
Baker North,2015,3,Asterias forbesi
Baker North,2015,3,Asterias rubens
Baker North,2015,3,Bugula neritina
Baker North,2015,3,Cancer borealis
Baker North,2015,3,Cancer irroratus
Baker North,2015,3,Chondrus crispus
Baker North,2015,3,Clathromorphum circumscriptum
Baker North,2015,3,Cliona
Baker North,2015,3,Cliona celata
Baker North,2015,3,Cliona lobata
Baker North,2015,3,Cliona undulata
Baker North,2015,3,Cystoclonium purpureum
Baker North,2015,3,Desmarestia aculeata
Baker North,2015,3,Desmarestia viridis
Baker North,2015,3,Encrusting coralline
Baker North,2015,3,Henricia sanguinolenta
Baker North,2015,3,Heterosiphonia japonica
Baker North,2015,3,Hildenbrandia rubra
Baker North,2015,3,Homarus americanus
Baker North,2015,3,Lithophyllum spp.
Baker North,2015,3,Lithothamnion
Baker North,2015,3,Lithothamnion lemoineae
Baker North,2015,3,Lithothamnion tophiforme
Baker North,2015,3,Modiolus modiolus
Baker North,2015,3,Myoxocephalus
Baker North,2015,3,Myoxocephalus scorpioides
Baker North,2015,3,Pholis gunnellus
Baker North,2015,3,Phymatolithon
Baker North,2015,3,Phymatolithon calcareum
Baker North,2015,3,Phymatolithon laevigatum
Baker North,2015,3,Phymatolithon lamii
Baker North,2015,3,Phymatolithon lenormandii
Baker North,2015,3,Polysiphonia
Baker North,2015,3,Polysiphonia arctica
Baker North,2015,3,Polysiphonia flexicaulis
Baker North,2015,3,Polysiphonia subtilissima
Baker North,2015,3,Porphyra spp.
Baker North,2015,3,Saccharina latissima
Baker North,2015,3,Spermothamnion repens
Baker North,2015,3,Tautoga onitis
Baker North,2015,3,Tautogolabrus adspersus
Baker North,2015,3,Tubular Ulvoid
Baker North,2015,3,UNID Juv Laminariales
Baker North,2015,3,Unidentified Red Blade
Baker North,2015,4,Agarum clathratum
Baker North,2015,4,Amphipod tube mat
Baker North,2015,4,Anomia
Baker North,2015,4,Anomia peruviana
Baker North,2015,4,Anomia simplex
Baker North,2015,4,Asterias forbesi
Baker North,2015,4,Asterias rubens
Baker North,2015,4,Botrylloides violaceus
Baker North,2015,4,Bugula turrita
Baker North,2015,4,Cancer borealis
Baker North,2015,4,Cancer irroratus
Baker North,2015,4,Chondrus crispus
Baker North,2015,4,Clathromorphum circumscriptum
Baker North,2015,4,Corallina officinalis
Baker North,2015,4,Crepidula fornicata
Baker North,2015,4,Cystoclonium purpureum
Baker North,2015,4,Desmarestia aculeata
Baker North,2015,4,Desmarestia viridis
Baker North,2015,4,Encrusting coralline
Baker North,2015,4,Henricia sanguinolenta
Baker North,2015,4,Heterosiphonia japonica
Baker North,2015,4,Hildenbrandia rubra
Baker North,2015,4,Homarus americanus
Baker North,2015,4,Leptophytum acervatum
Baker North,2015,4,Lithophyllum spp.
Baker North,2015,4,Lithothamnion
Baker North,2015,4,Lithothamnion lemoineae
Baker North,2015,4,Lithothamnion tophiforme
Baker North,2015,4,Membranipora membranacea
Baker North,2015,4,Myoxocephalus
Baker North,2015,4,Myoxocephalus scorpioides
Baker North,2015,4,Obelia
Baker North,2015,4,Palmaria palmata
Baker North,2015,4,Pholis gunnellus
Baker North,2015,4,Phymatolithon
Baker North,2015,4,Phymatolithon calcareum
Baker North,2015,4,Phymatolithon laevigatum
Baker North,2015,4,Phymatolithon lamii
Baker North,2015,4,Phymatolithon lenormandii
Baker North,2015,4,Polysiphonia
Baker North,2015,4,Polysiphonia arctica
Baker North,2015,4,Polysiphonia flexicaulis
Baker North,2015,4,Polysiphonia subtilissima
Baker North,2015,4,Red Algal Turf
Baker North,2015,4,Saccharina latissima
Baker North,2015,4,Tautogolabrus adspersus
Baker North,2015,4,Tricellaria inopinata
Baker North,2015,4,UNID Juv Laminariales
Baker North,2016,1,Agarum clathratum
Baker North,2016,1,Ahnfeltia plicata
Baker North,2016,1,Asterias forbesi
Baker North,2016,1,Asterias rubens
Baker North,2016,1,Botrylloides violaceus
Baker North,2016,1,Bugula turrita
Baker North,2016,1,Bugulina spicata
Baker North,2016,1,Cancer borealis
Baker North,2016,1,Cancer irroratus
Baker North,2016,1,Chondrus crispus
Baker North,2016,1,Clathromorphum circumscriptum
Baker North,2016,1,Corallina officinalis
Baker North,2016,1,Crepidula fornicata
Baker North,2016,1,Desmarestia aculeata
Baker North,2016,1,Desmarestia viridis
Baker North,2016,1,Didemnum vexillum
Baker North,2016,1,Henricia sanguinolenta
Baker North,2016,1,Heterosiphonia japonica
Baker North,2016,1,Hildenbrandia rubra
Baker North,2016,1,Homarus americanus
Baker North,2016,1,Lithophyllum spp.
Baker North,2016,1,Lithothamnion
Baker North,2016,1,Lithothamnion lemoineae
Baker North,2016,1,Lithothamnion tophiforme
Baker North,2016,1,Mastocarpus stellatus
Baker North,2016,1,Membranipora membranacea
Baker North,2016,1,Myoxocephalus
Baker North,2016,1,Myoxocephalus scorpioides
Baker North,2016,1,Palmaria palmata
Baker North,2016,1,Pholis gunnellus
Baker North,2016,1,Phycodrys rubens
Baker North,2016,1,Red Algal Turf
Baker North,2016,1,Saccharina latissima
Baker North,2016,1,Spermothamnion repens
Baker North,2016,1,Tautogolabrus adspersus
Baker North,2016,1,UNID Juv Laminariales
Baker North,2016,2,Agarum clathratum
Baker North,2016,2,Anomia
Baker North,2016,2,Anomia peruviana
Baker North,2016,2,Anomia simplex
Baker North,2016,2,Asterias forbesi
Baker North,2016,2,Asterias rubens
Baker North,2016,2,Botrylloides violaceus
Baker North,2016,2,Bugula turrita
Baker North,2016,2,Bugulina spicata
Baker North,2016,2,Cancer borealis
Baker North,2016,2,Cancer irroratus
Baker North,2016,2,Chondrus crispus
Baker North,2016,2,Clathromorphum circumscriptum
Baker North,2016,2,Corallina officinalis
Baker North,2016,2,Crepidula fornicata
Baker North,2016,2,Desmarestia aculeata
Baker North,2016,2,Desmarestia viridis
Baker North,2016,2,Didemnum vexillum
Baker North,2016,2,Henricia sanguinolenta
Baker North,2016,2,Heterosiphonia japonica
Baker North,2016,2,Homarus americanus
Baker North,2016,2,Lithothamnion
Baker North,2016,2,Lithothamnion lemoineae
Baker North,2016,2,Lithothamnion tophiforme
Baker North,2016,2,Membranipora membranacea
Baker North,2016,2,Myoxocephalus
Baker North,2016,2,Myoxocephalus scorpioides
Baker North,2016,2,Palmaria palmata
Baker North,2016,2,Pholis gunnellus
Baker North,2016,2,Saccharina latissima
Baker North,2016,2,Schizomavella auriculata
Baker North,2016,2,Spermothamnion repens
Baker North,2016,2,Tautogolabrus adspersus
Baker North,2016,2,UNID Juv Laminariales
Baker North,2016,3,Agarum clathratum
Baker North,2016,3,Asterias forbesi
Baker North,2016,3,Asterias rubens
Baker North,2016,3,Botrylloides violaceus
Baker North,2016,3,Bugulina spicata
Baker North,2016,3,Cancer borealis
Baker North,2016,3,Cancer irroratus
Baker North,2016,3,Chondrus crispus
Baker North,2016,3,Corallina officinalis
Baker North,2016,3,Crepidula fornicata
Baker North,2016,3,Cystoclonium purpureum
Baker North,2016,3,Desmarestia aculeata
Baker North,2016,3,Desmarestia viridis
Baker North,2016,3,Didemnum vexillum
Baker North,2016,3,Henricia sanguinolenta
Baker North,2016,3,Heterosiphonia japonica
Baker North,2016,3,Homarus americanus
Baker North,2016,3,Leptophytum acervatum
Baker North,2016,3,Lithothamnion
Baker North,2016,3,Lithothamnion lemoineae
Baker North,2016,3,Lithothamnion tophiforme
Baker North,2016,3,Metridium senile
Baker North,2016,3,Myoxocephalus
Baker North,2016,3,Myoxocephalus scorpioides
Baker North,2016,3,Palmaria palmata
Baker North,2016,3,Pholis gunnellus
Baker North,2016,3,Phymatolithon
Baker North,2016,3,Phymatolithon calcareum
Baker North,2016,3,Phymatolithon laevigatum
Baker North,2016,3,Phymatolithon lamii
Baker North,2016,3,Phymatolithon lenormandii
Baker North,2016,3,Polysiphonia
Baker North,2016,3,Polysiphonia arctica
Baker North,2016,3,Polysiphonia flexicaulis
Baker North,2016,3,Polysiphonia subtilissima
Baker North,2016,3,Saccharina latissima
Baker North,2016,3,Tricellaria inopinata
Baker North,2016,3,UNID Juv Laminariales
Baker North,2016,4,Agarum clathratum
Baker North,2016,4,Anomia
Baker North,2016,4,Anomia peruviana
Baker North,2016,4,Anomia simplex
Baker North,2016,4,Aplidium pallidum
Baker North,2016,4,Asterias forbesi
Baker North,2016,4,Asterias rubens
Baker North,2016,4,Botrylloides violaceus
Baker North,2016,4,Bugulina spicata
Baker North,2016,4,Cancer borealis
Baker North,2016,4,Cancer irroratus
Baker North,2016,4,Chondrus crispus
Baker North,2016,4,Clathromorphum circumscriptum
Baker North,2016,4,Corallina officinalis
Baker North,2016,4,Crepidula fornicata
Baker North,2016,4,Desmarestia aculeata
Baker North,2016,4,Desmarestia viridis
Baker North,2016,4,Didemnum vexillum
Baker North,2016,4,Halisarca dujardinii
Baker North,2016,4,Henricia sanguinolenta
Baker North,2016,4,Heterosiphonia japonica
Baker North,2016,4,Homarus americanus
Baker North,2016,4,Lithophyllum spp.
Baker North,2016,4,Mastocarpus stellatus
Baker North,2016,4,Myoxocephalus
Baker North,2016,4,Myoxocephalus scorpioides
Baker North,2016,4,Pholis gunnellus
Baker North,2016,4,Saccharina latissima
Baker North,2016,4,Spermothamnion repens
Baker North,2016,4,Tautogolabrus adspersus
Baker North,2016,4,UNID Juv Laminariales
Baker North,2017,1,Aplidium pallidum
Baker North,2017,1,Asterias forbesi
Baker North,2017,1,Botryllus schlosseri
Baker North,2017,1,Bugula turrita
Baker North,2017,1,Cancer borealis
Baker North,2017,1,Cancer irroratus
Baker North,2017,1,Chondrus crispus
Baker North,2017,1,Cliona
Baker North,2017,1,Cliona celata
Baker North,2017,1,Cliona lobata
Baker North,2017,1,Cliona undulata
Baker North,2017,1,Corallina officinalis
Baker North,2017,1,Crepidula fornicata
Baker North,2017,1,Desmarestia aculeata
Baker North,2017,1,Desmarestia viridis
Baker North,2017,1,Didemnum vexillum
Baker North,2017,1,Henricia sanguinolenta
Baker North,2017,1,Heterosiphonia japonica
Baker North,2017,1,Hildenbrandia rubra
Baker North,2017,1,Homarus americanus
Baker North,2017,1,Leptophytum acervatum
Baker North,2017,1,Lithothamnion
Baker North,2017,1,Lithothamnion lemoineae
Baker North,2017,1,Lithothamnion tophiforme
Baker North,2017,1,Mytilus edulis
Baker North,2017,1,Palmaria palmata
Baker North,2017,1,Pholis gunnellus
Baker North,2017,1,Phycodrys rubens
Baker North,2017,1,Saccharina latissima
Baker North,2017,1,Tautogolabrus adspersus
Baker North,2017,2,Agarum clathratum
Baker North,2017,2,Asterias forbesi
Baker North,2017,2,Asterias rubens
Baker North,2017,2,Botryllus schlosseri
Baker North,2017,2,Bugula turrita
Baker North,2017,2,Cancer borealis
Baker North,2017,2,Cancer irroratus
Baker North,2017,2,Chondrus crispus
Baker North,2017,2,Cliona
Baker North,2017,2,Cliona celata
Baker North,2017,2,Cliona lobata
Baker North,2017,2,Cliona undulata
Baker North,2017,2,Corallina officinalis
Baker North,2017,2,Desmarestia aculeata
Baker North,2017,2,Desmarestia viridis
Baker North,2017,2,Didemnum vexillum
Baker North,2017,2,Henricia sanguinolenta
Baker North,2017,2,Heterosiphonia japonica
Baker North,2017,2,Homarus americanus
Baker North,2017,2,Laminaria digitata
Baker North,2017,2,Leptophytum acervatum
Baker North,2017,2,Lithophyllum spp.
Baker North,2017,2,Lithothamnion
Baker North,2017,2,Lithothamnion lemoineae
Baker North,2017,2,Lithothamnion tophiforme
Baker North,2017,2,Myoxocephalus
Baker North,2017,2,Myoxocephalus scorpioides
Baker North,2017,2,Mytilus edulis
Baker North,2017,2,Palmaria palmata
Baker North,2017,2,Pholis gunnellus
Baker North,2017,2,Phycodrys rubens
Baker North,2017,2,Phymatolithon
Baker North,2017,2,Phymatolithon calcareum
Baker North,2017,2,Phymatolithon laevigatum
Baker North,2017,2,Phymatolithon lamii
Baker North,2017,2,Phymatolithon lenormandii
Baker North,2017,2,Saccharina latissima
Baker North,2017,2,Spermothamnion repens
Baker North,2017,2,UNID Juv Laminariales
Baker North,2017,3,Aplidium pallidum
Baker North,2017,3,Asterias rubens
Baker North,2017,3,Blady Ulvoid
Baker North,2017,3,Botrylloides violaceus
Baker North,2017,3,Cancer borealis
Baker North,2017,3,Cancer irroratus
Baker North,2017,3,Chondrus crispus
Baker North,2017,3,Clathromorphum circumscriptum
Baker North,2017,3,Corallina officinalis
Baker North,2017,3,Crepidula fornicata
Baker North,2017,3,Desmarestia aculeata
Baker North,2017,3,Desmarestia viridis
Baker North,2017,3,Euthora cristata
Baker North,2017,3,Henricia sanguinolenta
Baker North,2017,3,Heterosiphonia japonica
Baker North,2017,3,Homarus americanus
Baker North,2017,3,Laminaria digitata
Baker North,2017,3,Leptophytum acervatum
Baker North,2017,3,Lithophyllum spp.
Baker North,2017,3,Lithothamnion
Baker North,2017,3,Lithothamnion lemoineae
Baker North,2017,3,Lithothamnion tophiforme
Baker North,2017,3,Myoxocephalus
Baker North,2017,3,Myoxocephalus scorpioides
Baker North,2017,3,Palmaria palmata
Baker North,2017,3,Pholis gunnellus
Baker North,2017,3,Phymatolithon
Baker North,2017,3,Phymatolithon calcareum
Baker North,2017,3,Phymatolithon laevigatum
Baker North,2017,3,Phymatolithon lamii
Baker North,2017,3,Phymatolithon lenormandii
Baker North,2017,3,Saccharina latissima
Baker North,2017,3,Spermothamnion repens
Baker North,2017,3,Tautogolabrus adspersus
Baker North,2017,3,UNID Juv Laminariales
Baker North,2017,4,Aplidium pallidum
Baker North,2017,4,Asterias forbesi
Baker North,2017,4,Blady Ulvoid
Baker North,2017,4,Botrylloides violaceus
Baker North,2017,4,Bugula turrita
Baker North,2017,4,Cancer borealis
Baker North,2017,4,Cancer irroratus
Baker North,2017,4,Chondrus crispus
Baker North,2017,4,Cliona
Baker North,2017,4,Cliona celata
Baker North,2017,4,Cliona lobata
Baker North,2017,4,Cliona undulata
Baker North,2017,4,Corallina officinalis
Baker North,2017,4,Desmarestia aculeata
Baker North,2017,4,Desmarestia viridis
Baker North,2017,4,Henricia sanguinolenta
Baker North,2017,4,Heterosiphonia japonica
Baker North,2017,4,Homarus americanus
Baker North,2017,4,Laminaria digitata
Baker North,2017,4,Leptophytum acervatum
Baker North,2017,4,Lithophyllum spp.
Baker North,2017,4,Lithothamnion
Baker North,2017,4,Lithothamnion lemoineae
Baker North,2017,4,Lithothamnion tophiforme
Baker North,2017,4,Myoxocephalus
Baker North,2017,4,Myoxocephalus scorpioides
Baker North,2017,4,Palmaria palmata
Baker North,2017,4,Pholis gunnellus
Baker North,2017,4,Phymatolithon
Baker North,2017,4,Phymatolithon calcareum
Baker North,2017,4,Phymatolithon laevigatum
Baker North,2017,4,Phymatolithon lamii
Baker North,2017,4,Phymatolithon lenormandii
Baker North,2017,4,Saccharina latissima
Baker North,2017,4,Tautogolabrus adspersus
Baker North,2017,4,Tricellaria inopinata
Baker North,2017,4,UNID Juv Laminariales
Baker North,2017,4,Unidentified Filamentous Red
Baker North,2018,1,Anomia
Baker North,2018,1,Anomia peruviana
Baker North,2018,1,Anomia simplex
Baker North,2018,1,Asterias forbesi
Baker North,2018,1,Bonnemaisonia hamifera
Baker North,2018,1,Caberea ellisii
Baker North,2018,1,Cancer borealis
Baker North,2018,1,Cancer irroratus
Baker North,2018,1,Chondrus crispus
Baker North,2018,1,Corallina officinalis
Baker North,2018,1,Desmarestia viridis
Baker North,2018,1,Henricia sanguinolenta
Baker North,2018,1,Heterosiphonia japonica
Baker North,2018,1,Homarus americanus
Baker North,2018,1,Ischnochiton ruber
Baker North,2018,1,Lichenopora verrucaria
Baker North,2018,1,Lithophyllum spp.
Baker North,2018,1,Lithothamnion
Baker North,2018,1,Lithothamnion lemoineae
Baker North,2018,1,Lithothamnion tophiforme
Baker North,2018,1,Myoxocephalus
Baker North,2018,1,Myoxocephalus scorpioides
Baker North,2018,1,Palmaria palmata
Baker North,2018,1,Pholis gunnellus
Baker North,2018,1,Phycodrys rubens
Baker North,2018,1,Polysiphonia
Baker North,2018,1,Polysiphonia arctica
Baker North,2018,1,Polysiphonia flexicaulis
Baker North,2018,1,Polysiphonia subtilissima
Baker North,2018,1,Porphyra spp.
Baker North,2018,1,Red Algal Turf
Baker North,2018,1,Saccharina latissima
Baker North,2018,1,Schizomavella auriculata
Baker North,2018,1,Schizoporella unicornis
Baker North,2018,1,Spermothamnion repens
Baker North,2018,1,Tautogolabrus adspersus
Baker North,2018,2,Anomia
Baker North,2018,2,Anomia peruviana
Baker North,2018,2,Anomia simplex
Baker North,2018,2,Asterias forbesi
Baker North,2018,2,Blady Ulvoid
Baker North,2018,2,Bugulina spicata
Baker North,2018,2,Caberea ellisii
Baker North,2018,2,Cancer borealis
Baker North,2018,2,Cancer irroratus
Baker North,2018,2,Carcinus maenas
Baker North,2018,2,Chondrus crispus
Baker North,2018,2,Corallina officinalis
Baker North,2018,2,Desmarestia aculeata
Baker North,2018,2,Desmarestia viridis
Baker North,2018,2,Didemnum vexillum
Baker North,2018,2,Henricia sanguinolenta
Baker North,2018,2,Heterosiphonia japonica
Baker North,2018,2,Homarus americanus
Baker North,2018,2,Leptophytum acervatum
Baker North,2018,2,Lithophyllum spp.
Baker North,2018,2,Lithothamnion
Baker North,2018,2,Lithothamnion lemoineae
Baker North,2018,2,Lithothamnion tophiforme
Baker North,2018,2,Membranipora membranacea
